Date,Rice,Wheat,Maize,Potatoes,Onions
2000-01-01 00:00:00,166.9,180.8,189.0,70.7,89.8
2000-02-01 00:00:00,166.0,180.7,188.3,58.6,77.4
2000-03-01 00:00:00,166.6,180.3,192.4,67.0,83.0
2000-04-01 00:00:00,169.9,179.8,191.2,68.7,81.6
2000-05-01 00:00:00,171.0,178.4,186.9,77.8,88.9
2000-06-01 00:00:00,171.9,178.8,188.3,99.1,94.4
2000-07-01 00:00:00,173.1,178.3,184.9,102.6,81.9
2000-08-01 00:00:00,170.5,177.4,183.3,98.8,82.8
2000-09-01 00:00:00,167.6,175.8,172.1,88.4,97.8
2000-10-01 00:00:00,164.3,175.9,169.0,82.6,112.3
2000-11-01 00:00:00,162.8,177.1,172.6,82.6,135.2
2000-12-01 00:00:00,164.8,176.1,175.0,75.1,142.5
2001-01-01 00:00:00,164.8,175.6,175.1,68.2,135.3
2001-02-01 00:00:00,163.8,174.0,173.5,77.2,118.7
2001-03-01 00:00:00,165.1,172.0,174.6,93.9,113.7
2001-04-01 00:00:00,166.8,173.9,176.4,144.3,98.0
2001-05-01 00:00:00,169.3,175.1,174.8,197.0,91.2
2001-06-01 00:00:00,171.0,176.3,186.2,202.9,94.7
2001-07-01 00:00:00,171.1,177.2,175.7,203.0,101.4
2001-08-01 00:00:00,168.6,175.6,172.2,203.4,126.0
2001-09-01 00:00:00,169.8,172.7,171.2,203.9,136.8
2001-10-01 00:00:00,168.9,173.5,161.5,235.4,155.6
2001-11-01 00:00:00,168.3,174.8,158.7,260.3,202.7
2001-12-01 00:00:00,165.6,175.5,162.2,229.2,162.8
2002-01-01 00:00:00,161.5,173.9,167.3,182.7,114.3
2002-02-01 00:00:00,161.6,177.0,172.3,151.4,100.8
2002-03-01 00:00:00,161.6,178.4,179.6,167.9,102.0
2002-04-01 00:00:00,162.4,173.0,178.7,175.1,97.2
2002-05-01 00:00:00,162.5,171.5,176.5,188.6,89.1
2002-06-01 00:00:00,162.6,172.0,179.0,204.2,117.5
2002-07-01 00:00:00,166.4,172.3,184.6,216.6,142.6
2002-08-01 00:00:00,168.0,173.0,196.0,239.9,146.4
2002-09-01 00:00:00,168.6,175.0,189.7,260.4,162.8
2002-10-01 00:00:00,167.0,175.2,178.8,286.9,183.4
2002-11-01 00:00:00,166.9,177.1,188.6,272.3,181.7
2002-12-01 00:00:00,165.8,178.6,195.2,132.1,126.7
2003-01-01 00:00:00,165.9,179.1,196.7,97.6,105.3
2003-02-01 00:00:00,167.0,182.1,203.8,102.9,105.2
2003-03-01 00:00:00,168.4,179.9,206.0,102.8,107.0
2003-04-01 00:00:00,168.3,176.5,197.8,98.2,119.5
2003-05-01 00:00:00,169.9,174.8,193.2,93.9,131.7
2003-06-01 00:00:00,171.0,176.2,193.6,119.0,144.0
2003-07-01 00:00:00,171.9,176.1,185.8,134.8,159.3
2003-08-01 00:00:00,172.4,176.0,176.2,124.0,158.1
2003-09-01 00:00:00,172.6,176.3,174.5,126.3,162.9
2003-10-01 00:00:00,172.7,178.0,170.3,120.9,182.6
2003-11-01 00:00:00,169.3,183.2,167.2,124.6,198.3
2003-12-01 00:00:00,163.2,187.1,172.0,107.2,182.3
2004-01-01 00:00:00,164.4,190.9,180.2,96.6,212.5
2004-02-01 00:00:00,165.5,192.6,183.5,91.0,222.6
2004-03-01 00:00:00,164.5,188.6,180.5,100.8,164.0
2004-04-01 00:00:00,163.3,180.3,181.5,128.2,147.4
2004-05-01 00:00:00,164.9,178.0,188.2,163.1,133.1
2004-06-01 00:00:00,166.6,179.4,182.3,184.7,132.9
2004-07-01 00:00:00,167.1,179.8,186.1,183.0,136.7
2004-08-01 00:00:00,169.0,183.9,194.9,200.6,143.7
2004-09-01 00:00:00,170.2,183.7,190.4,223.0,149.2
2004-10-01 00:00:00,170.1,184.6,183.4,229.1,148.3
2004-11-01 00:00:00,169.1,186.7,180.6,191.5,154.5
2004-12-01 00:00:00,168.7,187.7,185.7,126.7,126.6
2005-01-01 00:00:00,168.5,188.5,189.1,127.7,125.7
2005-02-01 00:00:00,170.2,189.6,194.6,138.3,127.2
2005-03-01 00:00:00,170.3,187.2,197.9,141.5,119.0
2005-04-01 00:00:00,170.9,180.9,202.2,174.2,115.9
2005-05-01 00:00:00,170.5,180.0,201.0,192.1,114.7
2005-06-01 00:00:00,173.7,183.6,202.9,194.7,112.1
2005-07-01 00:00:00,175.8,186.1,206.5,201.2,126.4
2005-08-01 00:00:00,177.5,184.8,204.3,198.4,150.4
2005-09-01 00:00:00,177.8,184.9,206.3,193.8,218.3
2005-10-01 00:00:00,178.1,187.0,203.5,196.2,276.3
2005-11-01 00:00:00,176.8,191.0,199.4,238.1,298.1
2005-12-01 00:00:00,173.5,196.2,204.7,232.9,220.8
2006-01-01 00:00:00,173.0,205.5,209.2,200.3,166.5
2006-02-01 00:00:00,173.3,209.0,211.2,178.6,121.8
2006-03-01 00:00:00,173.6,209.4,208.2,194.2,114.6
2006-04-01 00:00:00,174.6,198.9,209.3,192.7,115.0
2006-05-01 00:00:00,176.4,199.2,209.0,202.4,123.8
2006-06-01 00:00:00,177.3,200.0,213.4,244.4,125.3
2006-07-01 00:00:00,177.3,201.1,211.3,255.1,128.1
2006-08-01 00:00:00,178.3,207.4,218.9,262.4,132.1
2006-09-01 00:00:00,179.7,216.8,221.1,293.8,147.9
2006-10-01 00:00:00,181.5,221.2,215.9,325.7,155.4
2006-11-01 00:00:00,182.0,228.4,226.8,314.3,157.5
2006-12-01 00:00:00,181.1,233.7,239.3,209.8,159.1
2007-01-01 00:00:00,181.1,234.5,240.2,166.3,225.5
2007-02-01 00:00:00,181.9,232.1,244.8,162.7,245.8
2007-03-01 00:00:00,183.7,224.5,249.3,190.2,214.4
2007-04-01 00:00:00,185.5,218.5,248.8,202.7,176.9
2007-05-01 00:00:00,186.0,217.0,244.0,227.4,165.3
2007-06-01 00:00:00,186.5,217.1,242.6,257.5,194.6
2007-07-01 00:00:00,188.4,222.6,240.7,279.2,244.1
2007-08-01 00:00:00,190.6,224.3,236.0,289.5,280.7
2007-09-01 00:00:00,192.6,224.2,228.8,291.3,335.2
2007-10-01 00:00:00,193.2,227.1,228.3,296.3,352.7
2007-11-01 00:00:00,194.1,230.2,225.0,285.4,322.8
2007-12-01 00:00:00,193.1,229.8,223.4,260.2,238.1
2008-01-01 00:00:00,195.5,231.4,234.3,246.7,173.3
2008-02-01 00:00:00,196.8,232.6,237.2,216.6,160.5
2008-03-01 00:00:00,198.9,233.4,244.5,226.1,167.5
2008-04-01 00:00:00,201.7,233.4,246.0,214.9,167.0
